PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Tao, S; Liao, KY; Xiao, XN; Wen, JF; Yang, Y; Zhang, J				Tao Shun; Liao Kunyu; Xiao Xiangning; Wen Jianfeng; Yang Yang; Zhang Jian			Charging demand for electric vehicle based on stochastic analysis of trip chain	IET GENERATION TRANSMISSION & DISTRIBUTION				Article								With its popularisation, electric vehicle (EV) has been part of the important load of smart grid. The analysis on charging demands of EVs is the basis of the study of influences on power grid and charging infrastructures planning. Charging demand calculation is based on the precise analysis on the driving law of users. This study proposes a method based on the stochastic simulation of trip chain to solve the existing problem. First, the concept and characteristic variables (trip start time, driving time, parking duration, driving distance and trip purpose) of trip chain are introduced. Second, the probability distribution models of these variables are established considering their correlative relationships. Third, using Monte Carlo method, the complete trip chains are simulated, and then the spatial-temporal distributions of charging demands are calculated. Finally, based on the National household trip survey data, and according to the proposed method, charging demands in different areas are studied. The results show that the proposed method can accurately simulate the driving law of users and reflect spatial-temporal distribution characteristics of charging demands, and different charging scenarios will lead to different forms of charging demand distribution, which will exert different impacts on power system.	[Tao Shun; Liao Kunyu; Xiao Xiangning; Yang Yang; Zhang Jian] North China Elect Power Univ, Key Lab Power Syst Protect & Dynam Secur Monitori, Beijing 102206, Peoples R China; [Wen Jianfeng] State Grid Corp China, State Grid Beijing Elect Power Co, Beijing Elect Power Econ Res Inst, Beijing 100055, Peoples R China		Liao, KY (corresponding author), North China Elect Power Univ, Key Lab Power Syst Protect & Dynam Secur Monitori, Beijing 102206, Peoples R China.	lky@ncepu.edu.cn								98	110											AUG 4	2016	10	11					2689	2698		10.1049/iet-gtd.2015.0995	http://dx.doi.org/10.1049/iet-gtd.2015.0995												2025-12-09	
J	Amini, MH; Kargarian, A; Karabasoglu, O				Amini, M. Hadi; Kargarian, Amin; Karabasoglu, Orkun			ARIMA-based decoupled time series forecasting of electric vehicle charging demand for stochastic power system operation	ELECTRIC POWER SYSTEMS RESEARCH				Article								Large-scale utilization of electric vehicles (EVs) affects the total electricity demand considerably. Demand forecast is usually designed for the seasonally changing load patterns. However, with the high penetration of EVs, daily charging demand makes traditional forecasting methods less accurate. This paper presents an autoregressive integrated moving average (ARIMA) method for demand forecasting of conventional electrical load (CEL) and charging demand of EV (CDE) parking lots simultaneously. Our EV charging demand prediction model takes daily driving patterns and distances as an input to determine the expected charging load profiles. The parameters of the ARIMA model are tuned so that the mean square error (MSE) of the forecaster is minimized. We improve the accuracy of ARIMA forecaster by optimizing the integrated and auto-regressive order parameters. Furthermore, due to the different seasonal and daily pattern of CEL and CDE, the proposed decoupled demand forecasting method provides significant improvement in terms of error reduction. The impact of EV charging demand on the accuracy of the proposed load forecaster is also analyzed in two approaches: (1) integrated forecaster for CEL + CDE, and (2) decoupled forecaster that targets CEL and CDE independently. The forecaster outputs are used to formulate a chance-constrained day-ahead scheduling problem. The numerical results show the effectiveness of the proposed forecaster and its influence on the stochastic power system operation. (C) 2016 Elsevier B.V. All rights reserved.	[Amini, M. Hadi; Karabasoglu, Orkun] Sun Yat Sen Univ Carnegie Mellon Univ Joint Inst, Guangzhou 510006, Guangdong, Peoples R China; [Amini, M. Hadi; Karabasoglu, Orkun] Carnegie Mellon Univ, Dept Elect & Comp Engn, Pittsburgh, PA 15213 USA; [Amini, M. Hadi; Karabasoglu, Orkun] SYSU CMU Shunde Int Joint Res Inst, Shunde, Guangdong, Peoples R China; [Amini, M. Hadi; Karabasoglu, Orkun] SYSU, Sch Elect & Informat Technol, Guangzhou, Guangdong, Peoples R China; [Kargarian, Amin] Louisiana State Univ, Dept Elect & Comp Engn, Baton Rouge, LA 70803 USA		Karabasoglu, O (corresponding author), SYSU CMU Shunde Int Joint Res Inst, Shunde, Guangdong, Peoples R China.; Kargarian, A (corresponding author), Louisiana State Univ, Dept Elect & Comp Engn, Baton Rouge, LA 70803 USA.; Karabasoglu, O (corresponding author), Sun Yat Sen Univ Carnegie Mellon Univ Joint Inst, Sch Elect & Informat Technol, SYSU, Guangzhou, Guangdong, Peoples R China.; Karabasoglu, O (corresponding author), Carnegie Mellon Univ, Scott Inst Energy Innovat, Pittsburgh, PA 15213 USA.	amini@cmu.edu; kargarian@lsu.edu; karabasoglu@cmu.edu								278	315											NOV	2016	140						378	390		10.1016/j.epsr.2016.06.003	http://dx.doi.org/10.1016/j.epsr.2016.06.003												2025-12-09	
J	Munawar, U; Wang, ZL				Munawar, Usman; Wang, Zhanle			Coordinated integration of distributed energy resources in unit commitment	INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS				Article								Distributed energy resources, such as electric vehicles and roof-top solar panels have become increasingly popular and essential components of power distribution systems. However, their growth poses significant challenges to system operation, such as bidirectional power flow, intermittent power generation, increased peak demand, and unexpected frequency/voltage fluctuation. To tackle these challenges, we developed a vehicle-to -grid model, which incorporated dynamic electric vehicles usages, such as driving times, driving distance, and charging/discharging locations. The machine learning method of principal component analysis and XGBoost were used to develop the solar energy prediction model. We also developed a novel unit commitment model to coordinate and aggregate the distributed energy resources in power generation economic dispatch. Electric vehicle charging was used as elastic demand and electric vehicle discharging was used as power generation sources. The solar energy was considered as a negative load. Simulation results showed that uncontrolled electric vehicle charging and solar energy could negatively impact the power systems. For example, the load ramping rate was increased by 384%. Simulation results also showed that the proposed models could mitigate the negative impact and improve energy efficiency. For example, the peak demand, load ramping rate and average generation cost were reduced by 21%, 79%, and 27%.	[Munawar, Usman; Wang, Zhanle] Univ Regina, Elect Syst Engn, Regina, SK S4S0A2, Canada		Wang, ZL (corresponding author), Univ Regina, Elect Syst Engn, Regina, SK S4S0A2, Canada.	zhanle.wang@uregina.ca								3	3											FEB	2023	145								108671	10.1016/j.ijepes.2022.108671	http://dx.doi.org/10.1016/j.ijepes.2022.108671		OCT 2022										2025-12-09	
J	Hu, JJ; Xiao, F; Mei, B; Lin, ZQ; Fu, CY				Hu, Jianjun; Xiao, Feng; Mei, Bo; Lin, Zhiqiang; Fu, Chunyun			Optimal Energy Efficient Control of Pure Electric Vehicle Power System Based on Dynamic Traffic Information Flow	IEEE TRANSACTIONS ON TRANSPORTATION ELECTRIFICATION				Article								To improve the energy efficiency and driving condition adaptability of pure electric vehicles (EVs) in a complex traffic environment, simulation conditions that can dynamically update traffic information based on measured data were designed. Next, to increase the pure EV's driving range, an energy efficient optimal control framework based on dynamic traffic information flow was proposed, which includes the traffic information layer, the target planning layer, and the prediction and control layer. In the traffic information layer, the vehicle receives and updates the traffic information data. The time-domain information and distance domain information are converted in the target planning layer and the optimal state-of-charge (SOC) reference trajectory is planned through the remote cloud computing system. The traffic information is predicted in the prediction and control layer, and an SOC scroll tracking control method is proposed to continuously control the power system to achieve the goal of optimal energy consumption and economic driving. Finally, under a variety of real road simulation conditions with dynamic traffic information, we verify that the economic performance of the proposed control framework is equivalent to that of the one based on dynamic programming algorithms and has the potential for online real-time control.	[Hu, Jianjun; Xiao, Feng; Mei, Bo; Lin, Zhiqiang; Fu, Chunyun] Chongqing Univ, State Key Lab Mech Transmiss, Chongqing 400044, Peoples R China		Hu, JJ (corresponding author), Chongqing Univ, State Key Lab Mech Transmiss, Chongqing 400044, Peoples R China.	hujianjun@cqu.edu.cn; 15079140747@163.com; maybo3@163.com; zq253399@163.com; fuchunyun@cqu.edu.cn								12	12											MAR	2022	8	1					510	526		10.1109/TTE.2021.3091529	http://dx.doi.org/10.1109/TTE.2021.3091529												2025-12-09	
J	Khalid, M; Akram, U; Shafiq, S				Khalid, Muhammad; Akram, Umer; Shafiq, Saifullah			Optimal Planning of Multiple Distributed Generating Units and Storage in Active Distribution Networks	IEEE ACCESS				Article								Traditionally, the energy supply in off-grid communities has relied on diesel generating units based microgrids (MGs) but global environmental concerns and advancements in renewable energy technology are pushing for the transformation of these systems into renewable-based MGs. This transformation is a more complex hybrid system, with dispatchable and non-dispatchable resources, and requires novel planning and design tools to ensure the security of supply in the future. This paper presents a methodology that jointly optimizes the capacities and locations of dispatchable and non-dispatchable distributed generating units and battery energy storage system employed in a stand-alone MG serving conventional residential and electric vehicle charging load. The complex dual optimization problem is solved innovatively in two sequential steps. In the first step, the capacities of solar photovoltaic panels, wind turbines, battery energy storage system, and diesel generator are determined without actually considering the system design itself. While in the second step, a novel and simple methodology is developed which determines the sub-optimal capacities of distributed generation units along with their actual locations in the distribution system. To determine the optimal locations of distributed generation units, we defined a novel factor, losses-voltage-factor (LVF), which ensures reduced losses and better voltage quality. The proposed methodology gives a robust design that not only results in reduced losses and better voltage quality but also have higher reliability. The proposed technique is very practical, which can easily be applied for the planning and design of the practical active distribution networks.	[Khalid, Muhammad; Akram, Umer; Shafiq, Saifullah] King Fand Univ Petr & Minerals, Dept Elect Engn, Dhahran 31261, Saudi Arabia		Akram, U (corresponding author), King Fand Univ Petr & Minerals, Dept Elect Engn, Dhahran 31261, Saudi Arabia.	g201512930@kfupm.edu.sa								56	58												2018	6						55234	55244		10.1109/ACCESS.2018.2872788	http://dx.doi.org/10.1109/ACCESS.2018.2872788												2025-12-09	
J	Jin, YW; Acquah, MA; Seo, MY; Han, S				Jin, Yuwei; Acquah, Moses Amoasi; Seo, Mingyu; Han, Sekyung			Optimal Siting and Sizing of EV Charging Station Using Stochastic Power Flow Analysis for Voltage Stability	IEEE TRANSACTIONS ON TRANSPORTATION ELECTRIFICATION				Article								Existing literature on planning for electric vehicle charging station (EVCS) fails to consider uncertain factors in power systems, such as load fluctuations and the impact of EV integration. Consequently, using deterministic power flow (DPF) algorithms for EVCS planning is unreliable. To address this, we propose a probabilistic model for EV charging loads and introduce a novel dynamic system voltage stability (DSVS) index. We then present an effective optimization model for EVCS site and size planning using stochastic power flow (SPF). Our model aims to maximize capital gains on investment costs of EVCS, minimize yearly EV users' average wait time and distance to charge costs, and minimize the DSVS index. To simplify the problem, we use the super efficiency data envelopment analysis (SEDEA) method to determine objective weights and transform the multiobjective optimization problem into a single-objective one. Finally, we jointly solve the model using the voronoi diagram and adaptive differential evolution optimization algorithm (ADEOA). We verify the effectiveness of our proposed method using a case study with the IEEE 33-node distribution network topology diagram and a planning area diagram.	[Jin, Yuwei; Seo, Mingyu; Han, Sekyung] Kyungpook Natl Univ, Sch Elect & Elect Engn, Daegu 41566, South Korea; [Acquah, Moses Amoasi] Keimyung Univ, Sch Elect Energy Engn, Daegu 42601, South Korea		Han, S (corresponding author), Kyungpook Natl Univ, Sch Elect & Elect Engn, Daegu 41566, South Korea.; Acquah, MA (corresponding author), Keimyung Univ, Sch Elect Energy Engn, Daegu 42601, South Korea.	jinyuwei91@gmail.com; amoasiacquah@gmail.com; mgseo1218@gmail.com; skhan@knu.ac.kr								47	51											MAR	2024	10	1					777	794		10.1109/TTE.2023.3275080	http://dx.doi.org/10.1109/TTE.2023.3275080												2025-12-09	
J	Arias, NB; Hashemi, S; Andersen, PB; Træholt, C; Romero, R				Arias, Nataly Banol; Hashemi, Seyedmostafa; Andersen, Peter Bach; Traeholt, Chresten; Romero, Ruben			Distribution System Services Provided by Electric Vehicles: Recent Status, Challenges, and Future Prospects	IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS				Article								Trend-setting countries have promoted or even employed an increased number of electric vehicles (EVs) and other distributed energy resources (DERs) in their power systems. This development has triggered new and increasing challenges in the distribution system planning and operation, whereby the distribution systems must adapt to the increased share of DERs. However, EVs may also offer new opportunities and can be used to support the grid by providing several local and global power- and energy-based services. This paper presents a review and classification of the services potentially available from EVs for distribution systems, referred to as EV distribution system services (EV-DSS). A detailed description of recent services and approaches is given, and an assessment of the maturity of EV-DSS is provided. Moreover, challenges and prospects for future research are identified, considering key topics, such as the design of the market framework, economic assessment, battery degradation, and the impacts of the transmission system operator service provision by EVs on distribution networks. Thus, this paper offers a tool for stakeholders concerning services available from EVs and provides a broad literature framework that can be used as a base for further investigations. It is aligned with the current requirements to move toward the realistic implementations of EV-DSS.	[Arias, Nataly Banol; Romero, Ruben] Sao Paulo State Univ, UNESP, Elect Engn Dept, BR-15385000 Ilha Solteira, Brazil; [Hashemi, Seyedmostafa; Andersen, Peter Bach; Traeholt, Chresten] Tech Univ Denmark, Dept Elect Engn, Ctr Elect & Energy, DK-2800 Lyngby, Denmark		Hashemi, S (corresponding author), Tech Univ Denmark, Dept Elect Engn, Ctr Elect & Energy, DK-2800 Lyngby, Denmark.	natycanta@aluno.feis.unesp.br; shtog@elektro.dtu.dk; pba@elektro.dtu.dk; crt@elektro.dtu.dk; ruben@dee.feis.unesp.br								131	142											DEC	2019	20	12					4277	4296		10.1109/TITS.2018.2889439	http://dx.doi.org/10.1109/TITS.2018.2889439												2025-12-09	
J	Weng, Y; Xie, JH; Sampath, LPMI; Macdonald, R; Vorobev, P; Nguyen, HD				Weng, Yu; Xie, Jiahang; Sampath, Lahanda Purage Mohasha Isuru; Macdonald, Ruaridh; Vorobev, Petr; Nguyen, Hung Dinh			Co-Optimizing Power-Transportation Networks With Circulating Loads and Particle-Like Stochastic Motion	IEEE TRANSACTIONS ON SMART GRID				Article								Coupling power-transportation systems may enhance the resilience of power grids by engaging energy-carrying mobile entities such as electric vehicles (EVs), truck-mounted energy storage systems, and Data Centers (DCs), which can shift the computing loads among their network. In practice, the co-optimization problem for power-transportation systems can be overly complicated due to a great deal of uncertainty and many decision variables rooted in the EV population and mobile energy storage. Another challenge is the heterogeneity in terms of size and supporting capability due to various types of such mobile entities. This work aims to facilitate power-transportation co-optimization by proposing and formalizing the concept of Circulating Loads (CirLoads) to generalize these spatial-temporal dispatchable entities. With the new concept, the stochastic process of CirLoads' movement is introduced using Brownian particles for the first time. Such novel particle motion-based modeling for EVs can reflect their stochastic behaviors over time without requiring exact data of EVs. The distributions of CirLoads are further aggregated with Gaussian Mixture Models to reduce the dimensions. Based on this aggregated model, a co-optimization framework is proposed to coordinate the bulk of EVs while respecting data privacy between transportation and power systems. Simulation results demonstrate the effectiveness of the proposed framework.	[Weng, Yu; Macdonald, Ruaridh] MIT, Energy Initiat, Cambridge, MA 02142 USA; [Xie, Jiahang; Vorobev, Petr; Nguyen, Hung Dinh] Nanyang Technol Univ, Sch Elect & Elect Engn, Singapore, Singapore; [Sampath, Lahanda Purage Mohasha Isuru] ASTAR, Inst High Performance Comp, Singapore 138632, Singapore		Nguyen, HD (corresponding author), Nanyang Technol Univ, Sch Elect & Elect Engn, Singapore, Singapore.	wengyu22@mit.edu; jiahang001@e.ntu.edu.sg; mohasha_sampath@ihpc.a-star.edu.sg; rmacd@mit.edu; hunghtd@ntu.edu.sg								1	1											JAN	2025	16	1					640	651		10.1109/TSG.2024.3459653	http://dx.doi.org/10.1109/TSG.2024.3459653												2025-12-09	
J	Son, YG; Acquah, MA; Kim, SY				Son, Yeong Geon; Acquah, Moses Amoasi; Kim, Sung-Yul			Optimal hierarchical modeling of power to X stations through a chance constrained Two-Stage stochastic programming	INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS				Article								The carbon neutrality policy aiming for net zero carbon emissions has led to a significant increase in the use of renewable energy sources (RES) globally. However, due to their uncertain nature, RES can cause imbalances in power demand. Recently, Power-to-X (P2X) station technology has gained attention as a solution to the uncertainties of RES and as a means to enhance the capacity and efficiency of RES operations. P2X stations can be utilized when power demand imbalances occur due to the uncertain output of RES or when the power system cannot accommodate the power supply from RES due to various stability issues. Specifically, when supply disruptions occur in the power system due to RES uncertainties, P2X stations contribute to preventing RES curtailment by supplying power to electric vehicle (EV) fuel sources, producing heat using electric heat pumps (EHP), or producing hydrogen using electrolyzers (ELZ), thus improving the uncertain financial benefits for independent power producers (IPP). This paper proposes a mixed-integer linear programming (MILP) based chance-constrained two-stage stochastic optimization (CCTS) approach to address imbalances in power demand from RES and to enhance the profitability of IPP by finding the optimal planning and operational solutions for P2X stations. The proposed method provides hierarchical level results, demonstrating that economic benefits can increase by up to 60.2% with the application of P2X stations and that curtailed energy from RES can be reduced by up to 76.5%. The proposed methodology is also validated for its superior performance by being compared with both the non-linear stochastic chance constraint method and the stochastic method.	[Son, Yeong Geon; Kim, Sung-Yul] Hanyang Univ, Dept Elect Engn, Seoul, South Korea; [Acquah, Moses Amoasi] Keimyung Univ, Dept Elect Energy Engn, Daegu, South Korea		Kim, SY (corresponding author), Hanyang Univ, Dept Elect Engn, Seoul, South Korea.	syg9509@gmail.com; pslab2040@gmail.com								3	3											OCT	2024	161								110169	10.1016/j.ijepes.2024.110169	http://dx.doi.org/10.1016/j.ijepes.2024.110169		AUG 2024										2025-12-09	
J	Currie, RAF; Ward, T; Carney, JL; Mandelman, G; Everett, MC; Shumavon, A; Phelps, N; Griffin, L; Roundtree, S				Currie, Robert A. F.; Ward, Teddy; Carney, James L.; Mandelman, Greg; Everett, Margot C.; Shumavon, Aram; Phelps, Nathan; Griffin, Lindsay; Roundtree, Stephan			Grid Planning for Electrification Using Highly Granular Analytics: Insights Into the Transportation Distribution Infrastructure	IEEE POWER & ENERGY MAGAZINE				Article								Many countries are enhancing the planning and interconnection process to accelerate the interconnection of solar, wind, and other technologies to the distribution grid. The electrification of transportation, however, is going to have a much larger impact on utility planning and operations, essentially transforming utilities into providers of foundational mobility-related services. The speed of electric vehicle (EV) adoption is increasing and is an order of magnitude faster than the pace at which utilities build new distribution and transmission infrastructure. EV adoption scenarios must be sufficiently accurate, granular, and specific to identify critical grid investment needs. Identifying probable EV adoption and usage patterns and then modeling their impacts on the power grid is a complex process that will be fundamental to decarbonizing the grid.	[Currie, Robert A. F.; Ward, Teddy; Carney, James L.; Mandelman, Greg; Everett, Margot C.; Shumavon, Aram] Kevala Inc, San Francisco, CA 94133 USA; [Phelps, Nathan; Griffin, Lindsay; Roundtree, Stephan] Vote Solar, Oakland, CA 94612 USA		Currie, RAF (corresponding author), Kevala Inc, San Francisco, CA 94133 USA.	robertafcurrie@gmail.com								2	2											NOV	2023	21	6					68	76		10.1109/MPE.2023.3308237	http://dx.doi.org/10.1109/MPE.2023.3308237												2025-12-09	
J	Li, XF; Li, C; Jia, C				Li, Xiaofei; Li, Chi; Jia, Chen			Electric Vehicle and Photovoltaic Power Scenario Generation under Extreme High-Temperature Weather	WORLD ELECTRIC VEHICLE JOURNAL				Article								In recent years, with the intensification of global warming, extreme weather has become more frequent, intensifying the uncertainty of new energy output and load power, and seriously affecting the safe operation of power systems. Scene generation is an effective method to solve the uncertainty problem of stochastic planning of integrated systems of new energy generation. Therefore, this paper proposes a scenario generation and scenario reduction model of photovoltaic (PV) output and electric vehicle (EV) load power under extreme weather based on the copula function. Firstly, the non-parametric kernel density estimation method is used to fit a large number of sample data. The kernel density estimation expressions of PV and EV powers under extreme weather conditions are obtained and the corresponding goodness of fit tests are carried out. Then, a variety of joint distribution models based on the copula function are established to judge the goodness of fit of each model, and the optimal copula function is selected as the joint probability distribution function by combining the Kendall and Spearman correlation coefficients of each model. Finally, the optimal copula joint probability distribution is used to generate PV and EV power scenarios. The data of extremely hot weather in a certain province were selected for an example analysis. The results show that the output scenario obtained conforms to the correlation under this extreme weather, and has higher accuracy in reflecting the actual PV output and load power in this province under this extreme weather, which can provide a reference for reliability analyses of power systems and power grid planning.	[Li, Xiaofei; Li, Chi] China Elect Power Res Inst, Natl Key Lab Renewable Energy Grid Integrat, Beijing 100192, Peoples R China; [Jia, Chen] State Grid Liaoning Elect Power Res Inst, Shenyang 110006, Peoples R China		Li, XF (corresponding author), China Elect Power Res Inst, Natl Key Lab Renewable Energy Grid Integrat, Beijing 100192, Peoples R China.	lixiaofei3@epri.sgcc.com.cn								5	7											JAN	2024	15	1							11	10.3390/wevj15010011	http://dx.doi.org/10.3390/wevj15010011												2025-12-09	
J	Sun, W; Kadel, N; Alvarez-Fernandez, I; Nejad, RR; Golshani, A				Sun, Wei; Kadel, Nemica; Alvarez-Fernandez, Inalvis; Nejad, Reza Roofegari; Golshani, Amir			Optimal distribution system restoration using PHEVs	IET SMART GRID				Article								Power outages cost billions of dollars every year and jeopardise the lives of hospital patients. Traditionally, power distribution system takes a long time to recover after a major blackout, due to its top-down operation strategy. New technologies in modern distribution systems bring opportunities and challenges to distribution system restoration. As fast response energy resources, plug-in hybrid electric vehicles (PHEVs) can accelerate the load pickup by compensating the imbalance between available generation and distribution system load. This study provides a bottom-up restoration strategy to use PHEVs for reliable load pickup and faster restoration process. The optimisation problem of finding load pickup sequence to maximise restored energy is formulated as a mixed integer linear programming (MILP) problem. Moreover, the coordination between transmission and distribution restoration is developed to efficiently restore the entire system back to normal operating conditions. Simulation results on one 100-feeder test system demonstrate the efficiency of MILP-based restoration strategy and the benefit from PHEVs to restore more energy in given restoration time. The proposed restoration strategy has great potential to facilitate system operators to achieve efficient system restoration plans. It also provides incentives to deploy a large amount of PHEVs to improve system resiliency.	[Sun, Wei; Alvarez-Fernandez, Inalvis; Nejad, Reza Roofegari; Golshani, Amir] Univ Cent Florida, Elect & Comp Engn Dept, Orlando, FL 32816 USA; [Kadel, Nemica] Elect Reliabil Council Texas, Transmiss Planning, Austin, TX USA		Sun, W (corresponding author), Univ Cent Florida, Elect & Comp Engn Dept, Orlando, FL 32816 USA.	sun@ucf.edu								25	26											MAR	2019	2	1					42	49		10.1049/iet-stg.2018.0054	http://dx.doi.org/10.1049/iet-stg.2018.0054												2025-12-09	
J	Ding, Y; Ma, SP; Liu, GZ; Sui, CB; Xiang, L				Ding, Yu; Ma, Shengping; Liu, Guozheng; Sui, Congbiao; Xiang, La			Optimization of sizing and energy management in hybrid energy storage systems for transient suppression in ship power systems under adverse sea conditions	INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS				Article								In adverse sea conditions, the ship Integrated Power System (IPS) will be subjected to significant load fluctuations, which has a serious impact on the safety of ship sailing and the power quality of shipboard electrical network. In this paper, the potential performance of Hybrid Energy Storage System (HESS), consisting of the battery and supercapacitor, in mitigating fluctuations in shipboard electrical network has been investigated based on the simulation model. To achieve a cooperative control among the three-source powertrains (i.e., the generation set system, Li-ion battery, and supercapacitor), a power distribution strategy is proposed. Considering that the power distribution and capacity sizing of HESS are highly related to each other, a multi-objective joint optimization method based on Multi-objective pelican optimization algorithm is proposed to obtain the optimal number of Li-ion battery and supercapacitor and the optimal power distribution strategy among the three-source powertrain for adverse sea conditions. The results indicate that the HESS can effectively mitigate fluctuations in frequency and voltage of AC bus, which are caused by the power supply side and/or the load side. Compared to the original IPS (without HESS), the fluctuations amplitude of frequency and voltage for the proposed IPS with optimal HESS are reduced by 63.0% and 74.5% in adverse sea conditions, effectively improving the electricity quality and safety of the ship. Moreover, compared to traditional optimization methods, the investment cost and installation space for the proposed IPS with optimal HESS are reduced by 53.9% and 54.2% respectively.	[Ding, Yu; Ma, Shengping; Liu, Guozheng; Sui, Congbiao; Xiang, La] Harbin Engn Univ, Coll Power & Energy Engn, Harbin 150001, Peoples R China		Sui, CB (corresponding author), Harbin Engn Univ, Coll Power & Energy Engn, Harbin 150001, Peoples R China.	congbiao_sui@hrbeu.edu.cn								1	1											SEP	2025	170								110864	10.1016/j.ijepes.2025.110864	http://dx.doi.org/10.1016/j.ijepes.2025.110864		JUN 2025										2025-12-09	
J	Wu, T; Li, ZY; Wang, GB; Zhang, X; Qiu, J				Wu, Ting; Li, Zhiyong; Wang, Guibin; Zhang, Xian; Qiu, Jing			Low-Carbon Charging Facilities Planning for Electric Vehicles Based on a Novel Travel Route Choice Model	IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS				Article								Promotion of charging facilities (CFs) can ameliorate range anxiety and facilitate long-distance travel by electric vehicles (EVs). In this context, a multistage low-carbon EV CFs planning model is proposed in this paper for the coupled transportation and power systems. This model not only takes into account the construction costs of newly-built CFs and their adverse impacts on the distribution system, but also considers the carbon emissions of CFs and the penalty due to the inconvenience for EVs to be recharged. In addition, a rational travel route choice model is significantly important to accurately evaluate the service capability of CFs to be constructed and thereby to obtain an optimal CF planning result. Therefore, a novel travel route choice model developed in this work allows EV drivers to take detours according to the CF locations to charge their EVs multiple times and then finish their trips. Carbon emission flow (CEF) model is innovatively employed to precisely calculate CFs' carbon emission amount from the perspective of consumption side. Subsequently, uncertainties involved in CF planning, i.e., distribution and growth rate of traffic flow and electric load, popularity of different types of EVs, as well as location of the connected node of clean electricity, are fully considered to obtain a robust CF planning scheme that can achieve a good performance in the current stage and exhibit robustness for the uncertainties in the future stage. Finally, numerical experiments are conducted to verify the effectiveness of the proposed model. The impacts of future carbon price and EV cruising range on the planning results are also comprehensively evaluated.	[Wu, Ting; Zhang, Xian] Harbin Inst Technol Shenzhen, Sch Mech Engn & Automation, Shenzhen 518055, Peoples R China; [Li, Zhiyong; Wang, Guibin] Shenzhen Univ, Coll Mechatron & Control Engn, Shenzhen 518000, Peoples R China; [Qiu, Jing] Univ Sydney, Sch Elect & Informat Engn, Sydney, NSW 2006, Australia		Zhang, X (corresponding author), Harbin Inst Technol Shenzhen, Sch Mech Engn & Automation, Shenzhen 518055, Peoples R China.; Wang, GB (corresponding author), Shenzhen Univ, Coll Mechatron & Control Engn, Shenzhen 518000, Peoples R China.	wanggb@szu.edu.cn; eexianzhang@outlook.com								32	33											JUN	2023	24	6					5908	5922		10.1109/TITS.2023.3248087	http://dx.doi.org/10.1109/TITS.2023.3248087		FEB 2023										2025-12-09	
J	Nugraha, SD; Ashari, M; Riawan, DC				Nugraha, Syechu Dwitya; Ashari, Mochamad; Riawan, Dedet Candra			Multi-Objective Approach for Optimal Sizing and Placement of EVCS in Distribution Networks With Distributed Rooftop PV in Metropolitan City	IEEE ACCESS				Article								The optimal sizing and location of electric vehicle charging station (EVCS) integrated with distributed generation (DG) in the distribution network are the subject of this study. In modern electric power systems, the integration of EVCS and DG must be carefully planned. Inappropriate sizing and location of EVCS can cause network overload, increase power losses, and allow for voltage variations outside the standard. This study adopts a reference distribution network that is representative of a typical business distribution network in a metropolitan city in Indonesia. To resolve the issue of determining the size and location of EVCS, the hybrid genetic algorithm-modified salp swarm algorithm (HGAMSSA) optimization method with multi-objective function is implemented. There are three scenarios used when determining the size and placement of EVCS. In the first scenario, the EVCS comprises chargers at levels 1, 2, and 3, with DG integration. In the second scenario, EVCS is comprised of level 2 and level 3, with DG integration. While in the third scenario, EVCS only consists of level 3 chargers with DG integration. The simulation results indicate that network utilization can be optimized at 79.00%, 75.53%, and 76.37% when electric cars (EV) operate in grid to vehicle (G2V) mode, compared to a base load of 29.46%. In vehicle to grid (V2G) mode, the energy supplied by the electric vehicle (EV) via the EVCS is 0.91 MWh. Additionally, the distribution network receives 10.036 MWh of electricity from rooftop photovoltaic (PV).	[Nugraha, Syechu Dwitya; Ashari, Mochamad; Riawan, Dedet Candra] Inst Teknol Sepuluh Nopember, Dept Elect Engn, Surabaya 60111, Indonesia		Ashari, M (corresponding author), Inst Teknol Sepuluh Nopember, Dept Elect Engn, Surabaya 60111, Indonesia.	ashari@its.ac.id								5	5												2025	13						40883	40898		10.1109/ACCESS.2025.3547327	http://dx.doi.org/10.1109/ACCESS.2025.3547327												2025-12-09	
