"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Optimal Integration of EV Charging Stations and Capacitors for Net Present Value Maximization in Distribution Network","B. V. Kumar; A. F. M A","National Institute of Technology Tiruchirappalli, IN; National Institute of Technology Tiruchirappalli, IN",IEEE Latin America Transactions,"10 Feb 2025","2025","23","3","239","250","The widespread adoption of electric vehicles (EVs) is crucial for reducing greenhouse gas emissions from traditional vehicles. Central to this adoption is the strategic deployment of electric vehicle charging stations (EVCS), whose improper positioning can pose challenges to electrical networks and utility operators. This paper introduces a novel hybrid approach for optimizing the placement of EVCS and capacitors (CAP) in the distribution network (DN) to mitigate active power loss (APL) and enhance operational efficiency. The methodology includes the optimal placement of CAP banks and EVCS across the network, which is evaluated using the Net Present Value (NPV) criterion. Additionally, the study comprehensively considers the integration of vehicle-to-grid (V2G) capabilities, enhancing network reliability. The proposed hybrid algorithm combines the genetic algorithm (GA) and particle swarm optimization (PSO), i.e., HGAPSO, which leverages their respective strengths in exploration and exploitation. A comprehensive sensitivity analysis is conducted for the IEEE 33, 69, 85, 118, and Brazil 136- bus systems, focusing on cost variables such as energy prices, maintenance costs, and system parameters. This analysis further validates the robustness of the proposed approach, demonstrating significant reductions in APL and maximization of net profit. Comparative results verify the superiority of the hybrid approach over conventional GA and PSO in optimizing the locations of charging stations and reactive power sources within networks.","1548-0992","","10.1109/TLA.2025.10879176","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10879176","Electric Vehicle Charging Stations, Capacitors, Distribution Network, Net Present Value, Vehicle-to-Grid, sensitivity analysis.","Costs;Optimization;Vehicle-to-grid;Reactive power;Energy loss;Investment;Hybrid power systems;Genetic algorithms;Electric vehicle charging;Capacitors","","5","","","IEEE","10 Feb 2025","","","IEEE","IEEE Journals"
"A Specialized Long-Term Distribution System Expansion Planning Method With the Integration of Distributed Energy Resources","T. D. De Lima; J. F. Franco; F. Lezama; J. Soares","Department of Electrical Engineering, São Paulo State University (UNESP), Ilha Solteira, São Paulo, Brazil; Department of Electrical Engineering, São Paulo State University (UNESP), Ilha Solteira, São Paulo, Brazil; Research Group on Intelligent Engineering and Computing for Advanced Innovation and Development (GECAD), Polytechnic Institute of Porto (ISEP/IPP), Porto, Portugal; Research Group on Intelligent Engineering and Computing for Advanced Innovation and Development (GECAD), Polytechnic Institute of Porto (ISEP/IPP), Porto, Portugal",IEEE Access,"24 Feb 2022","2022","10","","19133","19148","The electrical distribution system (EDS) has undergone major changes in the last decade due to the increasing integration of distributed generation (DG), particularly renewable energy DG. Since renewable energy resources have uncertain generation, energy storage systems (ESSs) in the EDS can reduce the impact of those uncertainties. Besides, electric vehicles (EVs) have been increasing in recent years leveraged by environmental concerns, bringing new challenges to the operation and planning of the EDS. In this context, new approaches for the distribution system expansion planning (DSEP) problem should consider the distributed energy resources (DG units, ESSs, and EVs) and address environmental impacts. This paper proposes a mixed-integer linear programming model for the DSEP problem considering DG units, ESSs, and EV charging stations, thus incorporating the environmental impact and uncertainties associated with demand (conventional and EVs) and renewable generation. In contrast to other approaches, the proposed model includes the simultaneous optimization of investments in substations, circuits, and distributed energy resources, including environmental aspects (CO2 emissions). The optimization method was developed in the modeling language AMPL and solved via CPLEX. Tests carried out with a 24-node system illustrate its effectiveness as a valuable tool that can assist EDS planners in the integration of distributed energy resources.","2169-3536","","10.1109/ACCESS.2022.3146799","Brazilian Federal Agency for Support and Evaluation of Graduate Education (CAPES), in the scope of the Program CAPES-PrInt(grant numbers:88887.310463/2018-00,88887.570741/2020-00); Brazilian National Council for Scientific and Technological Development (CNPq)(grant numbers:313047/2017-0); São Paulo Research Foundation (FAPESP) through CENERGETIC Research Project(grant numbers:2015/21972-6,2017/02831-8,2018/23617-7,2018/20990-9,2018/08008-4); Fundo Europeu de Desenvolvimento Regional (FEDER) Funds through the Operational Program for Competitiveness and Internationalization (COMPETE2020)(grant numbers:POCI-01-0145-FEDER-028983); National Funds through the Fundação para a Ciência e Tecnologia (FCT) Portuguese Foundation for Science and Technology(grant numbers:PTDC/EEI-EEE/28983/2017 (CENERGETIC),CEECIND/02814/2017,UIDB/000760/2020); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9694584","Distribution system expansion planning;integrated planning of electrical distribution system and EV charging stations;long-term stochastic planning model;renewable distributed generation","Renewable energy sources;Uncertainty;Planning;Integrated circuit modeling;Mathematical models;Investment;Electric vehicle charging","","42","","44","CCBY","27 Jan 2022","","","IEEE","IEEE Journals"
"Sustainable Deployment of EV Charging Stations in Distribution Network Supported With Hybrid Solar-DG Integrated DSTACOM","B. K. Saw; A. K. Bohre","EE-Deptartment NIT-DGP Durgapur, Durgapur, India; EE-Deptartment NIT-DGP Durgapur, Durgapur, India",IEEE Transactions on Industry Applications,"19 Aug 2025","2025","61","5","7750","7765","The rapid development of EVs and their mobilization with great acceptance in society forced the power system to expand because of the increase in demand for power during EV charging and its uncertain charging nature. The integration of solar energy has increased to meet this increased demand. Hence, due to the inappropriate integration of Solar-based Distributed Generations, the system gets unbalanced with increased losses, voltage profile imbalance, poor fault tolerance capability, and reliability issues. Also, it is impossible to fulfill the increased reactive power demand of the Distribution Network by these DGs. Therefore, in this work, to address these issues, the appropriate planning of hybrid Solar-DG Integrated DSTATCOM in a reconfigured DN with Exponential Load Model (ExpLM), including EV Charging Station load impacts, is presented considering the Sustainable Development Goals: Techno-Enviro-Economic challenges. The presented work's effectiveness is established on a modernized practical 33-bus DN using APSO, GWO-PSO, TLBO, and HBA by optimizing the TEE parameters. The considered techno parameters of the DN are Active Power Loss, Reactive Power Loss, Voltage Deviation, Level of Line Fault Current, and Service Reliability, which makes up the Multiple-Objective Fitness Problem. Similarly, the economic and enviro performance parameters are the Cost for Slack Bus Generation, Cost for Fixed Capital Recovery, Cost for Energy Lost, Cost for Energy Not Supplied, Total Cost, Cost for Solar-DG Integrated DSTATCOM, Saving Cost, Pay Back Period, and Environmental Particle Emission. By addressing the TEE challenges, the three key emerging SDGs have been addressed which are SDG 7, SDG 12, and SDG 15. Hence, the planning of SID in a reconfigured DN with ExpLM, considering EVCS load impacts by addressing the SDG concerns in a multi-objective environment, is the presented work's unique contribution and novelty.","1939-9367","","10.1109/TIA.2025.3550143","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10922180","Solar-DG integrated dstatcom (SID);EV charging stations (EVCS);distribution network tie-lines (DNtl);sustainable development goal (SDG);techno-economic and environmental challenges (TEE);APSO;GWO-PSO;TLBO and HBA","Planning;Costs;Optimization;Voltage;Resource management;Reliability;Sustainable development;Renewable energy sources;Microgrids;Power system reliability","","6","","72","IEEE","11 Mar 2025","","","IEEE","IEEE Journals"
"Hierarchical Transactive Energy Scheduling of Electric Vehicle Charging Stations in Constrained Power Distribution and Transportation Networks","L. Affolabi; M. Shahidehpour; F. Rahimi; F. Aminifar; K. Nodehi; S. Mokhtari","Department of Electrical and Computer Engineering, Illinois Institute of Technology, Chicago, IL, USA; Department of Electrical and Computer Engineering, Illinois Institute of Technology, Chicago, IL, USA; Open Access Technology International, Inc., Minneapolis, MN, USA; Open Access Technology International, Inc., Minneapolis, MN, USA; Open Access Technology International, Inc., Minneapolis, MN, USA; Open Access Technology International, Inc., Minneapolis, MN, USA",IEEE Transactions on Transportation Electrification,"20 Jun 2023","2023","9","2","3398","3409","There is a growing opportunity to explore transactive energy potentials among electric vehicle charging station (EVCS) systems as the ongoing trend is toward the deployment of more distributed energy resources, such as solar PV and energy storage units at EVCS premises. In this article, we propose a multiagent hierarchical framework for energy scheduling and trading of EVCSs considering the mobility constraints in the transportation network (TN) and the operational constraints in the power distribution network (PDN). Modeled as independent profit-driven entities, each EVCS optimally schedules its operation based on a multiperiod traffic assignment problem (TAP) solved by the traffic operator (TO) agent. A modified single-sided auction mechanism with limited shared information is used to clear the electricity market based on submitted EVCS bids and offers. The resulting trading operations are shared with the PDN operator to guarantee a reliable network operation. A trading adjustment signal is sent back to market participants (i.e., EVCSs) in the case of any PDN violations. We use a realistic three-phase unbalanced representation formulated as a mixed-integer second-order cone programming (MISOCP) problem to model the PDN operation. A four-stage solution method is proposed to solve the proposed EVCS energy scheduling and trading problem. Numerical simulations performed on a modified IEEE 33-bus test system and 12-node benchmark TN prove the effectiveness of the proposed multiagent-based hierarchical transactive market model and its solution approach for EVCSs.","2332-7782","","10.1109/TTE.2022.3219721","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9939012","Electric vehicle (EV) charging stations;multiagent modeling;power distribution network (PDN);transactive energy (TE);transportation network (TN)","Electric vehicle charging;Scheduling;Load modeling;Transactive energy;Charging stations;Power distribution networks;Multi-agent systems","","36","","26","IEEE","4 Nov 2022","","","IEEE","IEEE Journals"
"ADMM-Based Hierarchical Single-Loop Framework for EV Charging Scheduling Considering Power Flow Constraints","S. Kiani; K. Sheshyekani; H. Dagdougui","Department of Electrical Engineering, Polytechnique Montréal, Montréal, Canada; Department of Electrical Engineering, Polytechnique Montréal, Montréal, Canada; Department of Electrical Engineering, Polytechnique Montréal, Montréal, Canada",IEEE Transactions on Transportation Electrification,"18 Mar 2024","2024","10","1","1089","1100","This article presents a three-layer hierarchical distributed framework for optimal electric vehicle charging scheduling (EVCS). The proposed hierarchical EVCS structure includes a distribution system operator (DSO) at the top layer, electric vehicle aggregators (EVAs) at the middle layer, and electric vehicles (EVs) charging stations at the bottom layer. A single-loop iterative algorithm is developed to solve the EVCS problem by combining the alternating direction method of multipliers (ADMM) and the distribution line power flow model (DistFlow). Using the single-loop structure, the primal variables of all agents are updated simultaneously at every iteration resulting in a reduced number of iterations and faster convergence. The developed framework is employed to provide charging cost minimization at the EV charging stations level, peak load shaving at the EVAs level, and voltage regulation at the DSO level. In order to further improve the performance of the optimization framework, a neural network-based load forecasting model is implemented to include the uncertainties related to non-EV residential load demand. The efficiency and the optimality of the proposed EVCS framework are evaluated through numerical simulations, conducted for a modified IEEE 13 bus test feeder with different EV penetration levels.","2332-7782","","10.1109/TTE.2023.3269050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10107654","Alternating direction method of multipliers (ADMM);artificial neural network (ANN);electric vehicle charging scheduling (EVCS);hierarchical distributed optimization;load forecasting;vehicle-to-grid (V2G)","Optimization;Load modeling;Linear programming;Electric vehicle charging;Costs;Iterative methods;Convex functions","","29","","40","IEEE","24 Apr 2023","","","IEEE","IEEE Journals"
"Online Distributed MPC-Based Optimal Scheduling for EV Charging Stations in Distribution Systems","Y. Zheng; Y. Song; D. J. Hill; K. Meng","Department of Electrical and Electronic Engineering, The University of Hong Kong, Hong Kong; Department of Electrical and Electronic Engineering, The University of Hong Kong, Hong Kong; School of Electrical and Information Engineering, The University of Sydney, Sydney, N.S.W, Australia; School of Electrical Engineering and Telecommunications, University of New South Wales, Sydney, N.S.W, Australia",IEEE Transactions on Industrial Informatics,"4 Feb 2019","2019","15","2","638","649","The increasing popularity of electric vehicles (EVs) has made electric transportation a popular research topic. The demand for EV charging resources has significantly reshaped the net demand profile of power distribution systems. This paper proposes an online optimal charging strategy for multiple EV charging stations in distribution systems with power flow and bus voltage constraints satisfied. First, we formulate the online optimal charging problem as an optimal power flow problem that minimizes the total system energy cost based on short-term predictive models and operates in a time-receding manner with the latest system information. Then, the problem is convexified by a modified convex relaxation technique based on the bus injection model, so that the globally optimal solution can be obtained with high efficiency. Moreover, a distributed model predictive control based scheme is designed to solve the optimization problem per concerns regarding data privacy, individual economic interests, and EV uncertainties. The obtained optimal schedules are dispatched to the EVs parked at each charging station according to a fuzzy rule, which guarantees full charging at the departure time for each vehicle. The effectiveness of the proposed method is demonstrated via simulations on a modified IEEE 15-bus distribution system with charging stations located in both residential and commercial areas.","1941-0050","","10.1109/TII.2018.2812755","Hong Kong RGC Theme Based Research Scheme(grant numbers:T23-407/13N,T23-701/14N); National Natural Science Foundation of China(grant numbers:51277016,71401017); South China Grid Project Grant of Energy Internet; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8307186","Convex relaxation;distributed model predictive control (MPC);distribution network;electric vehicles (EVs);optimal charging dispatch","Electric vehicle charging;Charging stations;Uncertainty;Optimal scheduling;Load flow;Real-time systems","","194","","43","IEEE","6 Mar 2018","","","IEEE","IEEE Journals"
"Optimal Placement of Electric Vehicle Charging Stations in a Distribution Network With Randomly Distributed Rooftop Photovoltaic Systems","W. S. Tounsi Fokui; M. J. Saulo; L. Ngoo","Department of Electrical Engineering, Technology and Innovation, Pan African University Institute for Basic Sciences, Nairobi, Kenya; Department of Electrical and Electronic Engineering, Technical University of Mombasa, Mombasa, Kenya; Department of Electrical and Communications Engineering, Multimedia University of Kenya, Nairobi, Kenya",IEEE Access,"1 Oct 2021","2021","9","","132397","132411","The increasing number of electric vehicles (EVs) in today’s transport sector is gradually leading to the phasing out of petroleum-based vehicles. However, the rapid deployment of EVs largely depends on the coordinated and fast expansion of EV charging stations (EVCSs). The integration of EVCSs in the modern distribution network characterized by increased penetration of randomly distributed photovoltaic (PV) systems is challenging as they can lead to excessive power losses and voltage deviations beyond acceptable limits. In this paper, a hybrid bacterial foraging optimization algorithm and particle swarm optimization (BFOA-PSO) technique is proposed for the optimal placement of EVCSs into the distribution network with high penetration of randomly distributed rooftop PV systems. The optimization problem is formulated as a multi-objective problem minimizing active and reactive power losses, average voltage deviation index, and maximizing voltage stability index. The IEEE 69 node distribution network is used as the case network. The simulation is done using MATLAB to integrate the EVCSs in five cases of randomly sized and placed PV systems in the distribution network. For all five cases, a minimal increase in power losses is recorded with minor changes in the voltage deviation and stability indices due to the placement of the EVCSs. But for the voltages of nodes 29 to 48, the other node voltages remain unchanged upon placement of the EVCSs. The largest increase in power losses due to the EVCSs being brought into the network with PVs was noticed in case 3 (from 142.27kW, and 62.90kVar to 147.65kW, and 72.48kVar).","2169-3536","","10.1109/ACCESS.2021.3112847","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9537756","Electric vehicle;charging station;photovoltaic;hybrid BFOA-PSO;optimal placement","Distribution networks;Voltage;Power system stability;Optimization;Indexes;Stability criteria;Power demand","","69","","40","CCBY","14 Sep 2021","","","IEEE","IEEE Journals"
"AI-Based Approach for Optimal Placement of EVCS and DG With Reliability Analysis","M. Bilal; M. Rizwan; I. Alsaidan; F. M. Almasoudi","Department of Electrical Engineering, Delhi Technological University, Delhi, India; Department of Electrical Engineering, Delhi Technological University, Delhi, India; Department of Electrical Engineering, College of Engineering, Qassim University, Buraydah, Qassim, Saudi Arabia; Department of Electrical Engineering, Faculty of Engineering, University of Tabuk, Tabuk, Saudi Arabia",IEEE Access,"23 Nov 2021","2021","9","","154204","154224","It is expected that future transport will rely on electric vehicles (EVs) due to their sustainability and reduced greenhouse gas emissions. However, the rapid increase in electric load penetration causes several other concerns, including a generation-demand mismatch, increased network active power loss, a degradation in voltage profile, and decreased voltage stability margin. To overcome the issues mentioned earlier, proper integration of electric vehicle charging stations (EVCS) at appropriate locations is essential. The connection of an EVCS to the electricity grid will bring new challenges. Distributed generation (DG) sources are incorporated with EVCS to lessen the impact of EV charging load. In this study, charging stations are combined with DG units, which increases the motivation to use EVs. This study proposes an artificial intelligence (AI) approach, the hybrid of grey wolf optimization and particle swarm optimization, i.e., HGWOPSO, to investigate the suitable nodes for EVCS and DGs in a balanced distribution system. The proposed methodology is verified on the IEEE-33 bus and IEEE-69 bus systems. According to the findings, the obtained results are consistent as compared to other existing techniques. These findings are taken into consideration to analyze the reliability of electrical distribution networks. It is stated that using adequate reliability data of appropriately integrated DG and EVs increases the electrical system’s reliability.","2169-3536","","10.1109/ACCESS.2021.3125135","Chair of Prince Faisal for Artificial intelligence research (CPFAI) for funding this research work through(grant numbers:QU-CPFAI-2-9-5); Deputyship for Research & Innovation, Ministry of Education and the Deanship of Scientific Research, Qassim University for their support for this research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9599691","Artificial intelligence;electric vehicle;charging stations;radial distribution system;distributed generators;reliability","Reliability;Power system reliability;Distribution networks;Optimization;Resource management;Electric vehicle charging;Voltage","","125","","58","CCBY","2 Nov 2021","","","IEEE","IEEE Journals"
"Interdependence between transportation system and power distribution system: a comprehensive review on models and applications","W. Wei; D. WU; Q. WU; M. Shafie-Khah; J. P. S. Catalão","Department of Electrical Engineering, State Key Laboratory of Power System, Tsinghua University, Beijing, China; Department of Electrical Engineering, State Key Laboratory of Power System, Tsinghua University, Beijing, China; Department of Electrical Engineering, Technical University of Denmark, Copenhagen, Denmark; Institute for Systems and Computer Engineering, Technology and Science (INESC TEC), Porto, Portugal; Faculty of Engineering, University of Porto, Porto, Portugal",Journal of Modern Power Systems and Clean Energy,"4 Feb 2020","2019","7","3","433","448","The rapidly increasing penetration of electric vehicles in modern metropolises has been witnessed during the past decade, inspired by financial subsidies as well as public awareness of climate change and environment protection. Integrating charging facilities, especially high-power chargers in fast charging stations, into power distribution systems remarkably alters the traditional load flow pattern, and thus imposes great challenges on the operation of distribution network in which controllable resources are rare. On the other hand, provided with appropriate incentives, the energy storage capability of electric vehicle offers a unique opportunity to facilitate the integration of distributed wind and solar power generation into power distribution system. The above trends call for thorough investigation and research on the interdependence between transportation system and power distribution system. This paper conducts a comprehensive survey on this line of research. The basic models of transportation system and power distribution system are introduced, especially the user equilibrium model, which describes the vehicular flow on each road segment and is not familiar to the readers in power system community. The modelling of interdependence across the two systems is highlighted. Taking into account such interdependence, applications ranging from long-term planning to short-term operation are reviewed with emphasis on comparing the description of traffic-power interdependence. Finally, an outlook of prospective directions and key technologies in future research is summarized.","2196-5420","","10.1007/s40565-019-0516-7","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8982274","Charging stations;Electric vehicles;Interdependence;Power flow;Power distribution network;Transportation network;User equilibrium","Charging stations;Roads;Power distribution;Electric vehicles;Generators;Climate change","","65","","117","","4 Feb 2020","","","SGEPRI","SGEPRI Journals"
"Multi-Objective Approach for Optimal Sizing and Placement of EVCS in Distribution Networks With Distributed Rooftop PV in Metropolitan City","S. D. Nugraha; M. Ashari; D. C. Riawan","Department of Electrical Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Department of Electrical Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Department of Electrical Engineering, Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia",IEEE Access,"7 Mar 2025","2025","13","","40883","40898","The optimal sizing and location of electric vehicle charging station (EVCS) integrated with distributed generation (DG) in the distribution network are the subject of this study. In modern electric power systems, the integration of EVCS and DG must be carefully planned. Inappropriate sizing and location of EVCS can cause network overload, increase power losses, and allow for voltage variations outside the standard. This study adopts a reference distribution network that is representative of a typical business distribution network in a metropolitan city in Indonesia. To resolve the issue of determining the size and location of EVCS, the hybrid genetic algorithm-modified salp swarm algorithm (HGAMSSA) optimization method with multi-objective function is implemented. There are three scenarios used when determining the size and placement of EVCS. In the first scenario, the EVCS comprises chargers at levels 1, 2, and 3, with DG integration. In the second scenario, EVCS is comprised of level 2 and level 3, with DG integration. While in the third scenario, EVCS only consists of level 3 chargers with DG integration. The simulation results indicate that network utilization can be optimized at 79.00%, 75.53%, and 76.37% when electric cars (EV) operate in grid to vehicle (G2V) mode, compared to a base load of 29.46%. In vehicle to grid (V2G) mode, the energy supplied by the electric vehicle (EV) via the EVCS is 0.91 MWh. Additionally, the distribution network receives 10.036 MWh of electricity from rooftop photovoltaic (PV).","2169-3536","","10.1109/ACCESS.2025.3547327","Government of Indonesia, the Higher Education Financing and Assessment Center (PPAPT) Indonesia, the Endowment Fund for Education Agency (LPDP) Indonesia, and the Indonesian Education Scholarship (BPI)(grant numbers:202209092693); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10909069","EVCS;EV;DG;hybrid genetic algorithm-modified salp swarm algorithm (HGAMSSA);multi-objective optimization;optimal sizing;optimal placement","Distribution networks;Optimization;Vehicle-to-grid;Voltage;Linear programming;Photovoltaic systems;Optimization methods;Power system stability;Costs;Urban areas","","6","","36","CCBY","3 Mar 2025","","","IEEE","IEEE Journals"
"Planning of EV Charging Station With Distribution Network Expansion Considering Traffic Congestion and Uncertainties","A. Pal; A. Bhattacharya; A. K. Chakraborty","Electrical and Electronics Engineering, Silicon Institute of Technology, Bhubaneswar, Odisha, India; Electrical Engineering, National Institute of Technology Durgapur, Durgapur, West Bengal, India; Electrical Engineering, National Institute of Technology Agartala, Agartala, Tripura, India",IEEE Transactions on Industry Applications,"19 May 2023","2023","59","3","3810","3825","Proper planning for electric vehicle (EV) charging stations along with the required expansion of the distribution network is essential for the continuous growth of EV and conventional loads. This paper proposes a realistic and sustainable solution for deciding the location and capacity of the EV fast-charging stations along with the optimal multistage expansion of the distribution network to cope with future load growth. An overlaid traffic network with a distribution network is taken for the realistic approach. EV user convenience factor and user happiness factor are proposed along with the distribution network energy loss for better planning of fast-charging stations. To get charged, the appropriate fast-charging station and its best route are decided through minimum energy consumption by the EVs, considering traffic congestion and distances. Up-gradation of lines, up-gradation of the substation, addition of new fast-charging station, allocation of DSTATCOM and allocation of renewable-based distributed generation are performed for distribution network expansion planning. The whole work is formulated in three layers with a sub-layer. Uncertainties of EV driving patterns, energy requirement, traffic congestion, load and renewable generation are undertaken by the 2m point estimation method. The solution is carried out along with validation using different metaheuristic methods and integer linear programming.","1939-9367","","10.1109/TIA.2023.3237650","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10018877","Distribution network;electric vehicle charging station;expansion planning;optimal allocation;uncertainty","Planning;Electric vehicle charging;Costs;Resource management;Indexes;Voltage;Distribution networks","","70","","43","IEEE","17 Jan 2023","","","IEEE","IEEE Journals"
"Impact of EV Charging, Charging Speed, and Strategy on the Distribution Grid: A Case Study","G. A. Abiassaf; A. A. Arkadan","Department of Electrical Engineering, Colorado School of Mines, Golden, CO, USA; Department of Electrical Engineering, Colorado School of Mines, Golden, CO, USA",IEEE Journal of Emerging and Selected Topics in Industrial Electronics,"17 Apr 2024","2024","5","2","531","542","This work presents a methodology to assess the electricity demand due to the electrification of the transportation sector and its impact on the grid in a given geographic area. In addition, it presents the results of a case study within a geographic area up to the year 2050 and investigates ways to mitigate power quality issues due to the integration of light-duty passengers into heavy-duty electrical vehicles (EVs) within the electric grid. This study also investigates the impact of electrical vehicle, charging speed, and preferences on the utility and its distribution network by conducting a sensitivity analysis on the driver's charging preferences at work and at home, and how does it affect the load profile of a distribution grid. The voltage impact on the distribution grid nodes and line capacity limits are evaluated. This work will also investigate ways to mitigate power quality issues using renewable energy and distributed generation resources, while at the same time, finding the optimum EV charging speed and strategy to achieve an overall power system-level optimization of the distribution network.","2687-9743","","10.1109/JESTIE.2024.3352505","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10387566","Electrical vehicles (EVs);EV adoption rates;impact of EV fast charging systems on utility and distribution grids;power flow studies;power mitigation techniques;power quality","Electric vehicle charging;Transportation;Distribution networks;Charging stations;Automobiles;Renewable energy sources;Power quality","","26","","31","IEEE","10 Jan 2024","","","IEEE","IEEE Journals"
"Real-Time Energy Management System for an Active Distribution Network With Multiple EV Charging Stations Considering Transformer's Aging and Reactive Power Dispatch","R. M. Raghuveer; B. R. Bhalja; P. Agarwal","Department of Electrical Engineering, Indian Institute of Technology Roorkee, Roorkee, India; Department of Electrical Engineering, Indian Institute of Technology Roorkee, Roorkee, India; Department of Electrical Engineering, Indian Institute of Technology Roorkee, Roorkee, India",IEEE Transactions on Industry Applications,"19 Aug 2025","2025","61","5","7723","7735","This study presents a real-time energy management approach for multiple electric vehicle charging stations (EVCSs), which are integrated with photovoltaic (PV) systems, wind turbines (WTs), and battery energy storages (BESs) in an active distribution network (ADN). The proposed optimization framework is developed as a mixed-integer second order cone programming problem that aims to minimize the operating cost while minimizing the accelerated aging of substation transformer and meeting the electric vehicle (EV) users driving needs. Additionally, it also fulfills power flow and voltage constraints of ADN ensuring global optimum which is achieved by scheduling both active and reactive powers of EVs and BESs, respectively. Furthermore, to address the real-time uncertainties associated with EVs, the developed algorithm is operated using dynamic prediction horizon based model predictive control technique. The proposed algorithm is applied on a modified IEEE-33 bus radial ADN, and its effectiveness is validated through a practical case study integrating both residential and workplace EVCSs. Additionally, the scalability of the proposed method is tested using a modified IEEE 118-bus distribution network. The results indicate substantial cost savings, significant reduction in the peak demand of the substation transformer along with its reduced loss-of-life, decreased energy loss while improving the voltage profile and better fulfillment of the EV driving requirements when compared to conventional EV charging methods.","1939-9367","","10.1109/TIA.2025.3552367","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10930780","Active distribution network;electric vehicles;energy management system;loss-of-life;model predictive control;photovoltaic generation;wind generation","Substations;Reactive power;Costs;Power transformer insulation;Real-time systems;Transformers;Heuristic algorithms;Dynamic scheduling;Electric vehicle charging;Voltage","","2","","34","IEEE","18 Mar 2025","","","IEEE","IEEE Journals"
"EV Charging Station Placement Considering V2G and Human Factors in Multi-Energy Systems","C. Li; D. Carta; A. Benigni","Institute of Climate and Energy Systems, Energy Systems Engineering (ICE-1), Forschungszentrum Jülich, Jülich, Germany; Institute of Climate and Energy Systems, Energy Systems Engineering (ICE-1), Forschungszentrum Jülich, Jülich, Germany; Institute of Climate and Energy Systems, Energy Systems Engineering (ICE-1), Forschungszentrum Jülich, Jülich, Germany",IEEE Transactions on Smart Grid,"6 Jan 2025","2025","16","1","529","540","This paper proposes a new planning framework to determine the optimal location, capacity, and types of EV charging stations (EVCSs) in multi-energy systems (MESs). We propose a two-stage stochastic programming approach -with scenario-based algorithms- that explicitly considers vehicle-to-grid (V2G) peculiarities (four-quadrant operation and stochastic human factors influence: V2G willingness, walking distance, and charging patterns). Considering those factors together with MES uncertainties -RES generation, load demands, and electricity price- enables a comprehensive study of V2G and MES impact on EVCS planning. The proposed approach is applied to both a purely electric distribution network (EDN) and an MES to analyze the interplay of EVCSs in different energy domains, in consideration of different V2G contracts. The obtained results underline that the sole consideration of the EDN can lead to non-optimal results, while the more comprehensive analysis leads to optimal planning of all energy resources and cost savings. Finally, we analyse how each considered factor individually impacts EVCSs planning.","1949-3061","","10.1109/TSG.2024.3424530","German Federal Ministry of Education and Research(grant numbers:03SF0628); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10587210","Charging stations;distribution network;electric vehicles;multi-energy systems;vehicle-to-grid","Vehicle-to-grid;Costs;Human factors;Reactive power;Planning;Batteries;Heat pumps","","11","","37","IEEE","5 Jul 2024","","","IEEE","IEEE Journals"
