"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Funding Texts","Document Type","Publication Stage","Open Access","Source","EID"
"Cai, Y.; Bai, H.; Wang, L.; Xiao, X.; Li, W.; Wang, Y.","Cai, Yongxiang (56816086300); Bai, Hao (59954961300); Wang, Lei (59955972400); Xiao, Xiaobing (55886303500); Li, Wei (59955831000); Wang, Yang (58725975600)","56816086300; 59954961300; 59955972400; 55886303500; 59955831000; 58725975600","Rural Photovoltaic Storage and Charging Integrated Charging Station Capacity Allocation Strategy based on Tariff Compensation Mechanism","2025","Recent Advances in Electrical and Electronic Engineering","18","5","","600","612","1","10.2174/0123520965274991231219060505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008656871&doi=10.2174%2F0123520965274991231219060505&partnerID=40&md5=52d2a108f205a75575f59a89b8189bd9","Background: In order to help the “carbon peaking and carbon neutrality goals”, the current new energy vehicle to the countryside policy for the local use of renewable energy and demand-side carbon reduction provides a good opportunity but also requires rural townships and villages of electric vehicle charging infrastructure planning ahead. However, due to the current low rural electric vehicle ownership, the charging price compensation mechanism is not yet perfect, resulting in the planning period of electric vehicle growth and the willingness to respond to the tariff compensation policy is difficult to accurately assess. Methods: This paper proposes a rural photovoltaic storage and charging integrated charging station capacity allocation strategy based on the tariff compensation mechanism. Firstly, we construct a spatial-temporal dynamic distribution model of rural EV charging load coupled with distribution network - transportation network, and on this basis, we consider the rural EV charging time-sharing tariff and tariff compensation policy incentive, and amend the EV charging load transfer model; and then we construct an optimization planning model of charging station with the goal of minimizing the cost of construction, operation and maintenance, and maximizing the charging benefit of the integrated charging station in the rural area, and obtain the optimal synergistic planning scheme under the tariff compensation mechanism in the planning period. Results: The optimal collaborative planning scheme under the electricity price compensation mechanism is obtained, and the correctness and validity of the proposed optimal planning method of the rural optical storage charging station under the electricity price compensation mechanism is verified by the example, which is of positive significance in the promotion of the charging facilities to go to the countryside in an appropriate manner, and in the stimulation of the willingness of the rural consumers in the townships to purchase vehicles. Conclusion: (1) The spatial and temporal distribution and transfer model of rural EV charging loads with price incentives is constructed by taking into account the preferential charging price policies such as rural time-sharing tariff and tariff compensation mechanism. By comparing the operating revenues of optical storage-charging integrated charging stations with and without time-sharing tariffs and tariff compensation policies, we verified the incentive effect of multiple types of price incentives for the over-planning of rural electric vehicle charging facilities. (2) The proposed optimal configuration method of rural photovoltaic, storage and charging integration charging station can realize the in-situ utilization of rural renewable energy, tap the price competitiveness of photovoltaic, storage and charging integration, and weaken the cost of electricity consumption. By comparing the optimized configuration scheme with and without joint planning, it is verified that the moderate configuration of in-situ photovoltaic and energy storage equipment on the basis of the planning of charging piles brings benefits far exceeding the investment cost, and has a great role in increasing the operational efficiency of rural charging facilities. © 2025 Bentham Science Publishers.","capacity optimization allocation; distribution model; electric vehicle charging station; integrated photovoltaic storage and charging; Rural distribution network; Spatio-temporal dynamic; tariff compensation mechanism","Carbon; Charging time; Costs; Data storage equipment; Economics; Electric energy storage; Electric load distribution; Electric power distribution; Energy policy; Light electric vehicles; Optimization; Renewable energy; Rural areas; Spatial distribution; Vehicle to infrastructure; Capacity optimization; Capacity optimization allocation; Charging station; Compensation mechanism; Distribution models; Electric vehicle charging; Electric vehicle charging station; Integrated photovoltaic storage and charging; Optimization allocations; Photovoltaics; Rural distribution networks; Spatio-temporal dynamics; Tariff compensation mechanism; Charging stations","This work was supported by the Science and Technology Support Program of Guizhou Province ([2022] General012) and the Key Science and Technology Project of China Southern Power Grid Corporation (GZKJXM20220043).","Article","Final","","Scopus","2-s2.0-105008656871"
"Alizadeh, M.; Moradi Amani, A.M.; Meegahapola, L.; Jalili, M.; Hill, O.","Alizadeh, Mousa (57222171967); Moradi Amani, Ali (36843304800); Meegahapola, Lasantha G. (24463641900); Jalili, Mahdi (22035084800); Hill, Oliver (59952910100)","57222171967; 36843304800; 24463641900; 22035084800; 59952910100","Optimal Integration of EV Charging Stations Into Distribution Network Planning and Operation","2025","IEEE Transactions on Industrial Informatics","21","9","","7120","7130","5","10.1109/TII.2025.3574435","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008438510&doi=10.1109%2FTII.2025.3574435&partnerID=40&md5=4bf41f76fd0ec786bc4b884f4eebced0","This article studies optimal planning and operation of electric vehicle (EV) charging stations within power distribution networks, which is crucial due to the growing penetration of EVs and distributed energy resources. Traditional approaches for planning and operation can be suboptimal and lead to significant grid upgrade costs. To tackle this, we propose an integrated framework that jointly optimizes the location, sizing, and operation of battery energy storage systems and EV charging stations. Our multiobjective optimization model minimizes power losses, operational costs, and environmental impacts while maximizing system reliability. We use genetic algorithms and deep deterministic policy gradients to solve this problem, departing from conventional peak-demand-based designs and leveraging typical demand profiles for battery energy storage system sizing. Real-time controllers are incorporated to adjust charging rates dynamically, responding to real-time variations. The proposed framework, validated on realistic test networks, demonstrates improved efficiency and stability, supporting sustainable and resilient grid operations. © 2005-2012 IEEE.","Battery energy storage system (BESS); distribution network; electric vehicle charging station (EVCS); multiobjective optimization; optimal planning and operation","Charging (batteries); Charging stations; Costs; Distributed energy; Electric power distribution; Electric vehicles; Energy resources; Energy storage; Environmental impact; Genetic algorithms; Power distribution planning; Power distribution reliability; Secondary batteries; Battery energy storage system; Battery energy storage systems; Charging station; Distribution network operation; Electric vehicle charging; Electric vehicle charging station; Multi-objectives optimization; Optimal integration; Optimal operation; Optimal planning; Multiobjective optimization","","Article","Final","","Scopus","2-s2.0-105008438510"
"Zhang, L.; Huo, R.; Cai, G.; Hai, K.L.; Lyu, L.; Wang, P.","Zhang, Liang (55851934600); Huo, Ruyi (59944007800); Cai, Guowei (59662781800); Hai, Koh Leong (57860468000); Lyu, Ling (57208865342); Wang, Peng (59682659000)","55851934600; 59944007800; 59662781800; 57860468000; 57208865342; 59682659000","Integrated Planning of Charging Piles and Battery Swapping Stations Considering Spatiotemporal Distribution of Electric Vehicles","2025","CSEE Journal of Power and Energy Systems","11","3","","1236","1252","5","10.17775/CSEEJPES.2021.05780","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008011486&doi=10.17775%2FCSEEJPES.2021.05780&partnerID=40&md5=48e28a3a29e2555248c0f391ad7c8046","With the rapid adoption of electric vehicles (EVs), more charging and battery swapping facilities are needed to meet growing demand. However, a single type of charging or swapping facility cannot simultaneously and efficiently satisfy the power supply requirements of diverse vehicle types. In order to solve this problem, a joint planning method of charging piles and charging-battery swapping stations (CBSSs) is proposed in this paper. In this method, the influence of geospatial constraints on the layout scale of charging piles is considered, and the Monte Carlo simulation method is used to predict the spatiotemporal distribution of charging and battery swapping demands of private electric vehicles (PEVs) and the battery swapping demands of taxi electric vehicles (TEVs) respectively. On this basis, the layout scale of charging piles of each functional area is determined during the maximum charging demand period in a day to meet the demands of PEVs for charging convenience. Then, an operating state model of CBSS is established for calculation of the objective function. At the same time, a planning model of CBSSs is established to minimize the annual social comprehensive cost, which takes into account the economy of CBSSs and the battery swapping convenience of EVs. The planning of CBSSs can meet the demands of TEVs and some PEVs for a rapid power supply. Finally, using the urban transportation network of Changchun and IEEE 33-node system as an example, the planning of charging piles and CCBSs in direct charging mode and peak shifting mode are simulated and analyzed. The simulation results show that the proposed method enables PEVs and TEVs to access convenient and rapid power supply, and the planning result of CBSSs in direct charging mode is more economical, while peak shifting mode is more conducive to the safe operation of distribution networks. © 2015 CSEE.","charging piles; Charging-battery swapping station; electric vehicle; joint planning; spatiotemporal distribution of the charging and battery swapping demands","Battery management systems; Charging (batteries); Charging stations; Economics; Electric circuit breakers; Electric power distribution; Electric power system planning; Electric vehicles; Intelligent vehicle highway systems; Monte Carlo methods; Power distribution planning; Secondary batteries; Taxicabs; Urban planning; Urban transportation; Battery swapping; Charging modes; Charging pile; Charging-battery swapping station; Direct charging; Joint planning; Power supply; Spatiotemporal distribution of the charging and battery swapping demand; Spatiotemporal distributions; Intelligent systems","Manuscript received August 8, 2021; revised December 16, 2021; accepted December 28, 2021. Date of online publication August 18, 2022; date of current version April 27, 2024. This work is supported by the Major Science and Technology Special Project of Jilin Province (No. 20240204001SF).","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105008011486"
"Deeum, S.; Bhumkittipich, P.; Janjamraj, N.; Romphochai, S.; Kongjeen, Y.; Bhumkittipich, K.","Deeum, Saksit (58066632400); Bhumkittipich, Pimnapat (58645464800); Janjamraj, Natin (55748824000); Romphochai, Sillawat (57060504900); Kongjeen, Yuttana (56117376400); Bhumkittipich, K. N. (36809043600)","58066632400; 58645464800; 55748824000; 57060504900; 56117376400; 36809043600","Monte Carlo Based Optimal Placement of Multiple PV/BESS Units in Power Distribution System with Varying Electric Vehicle Load Penetration","2025","International Review of Electrical Engineering","20","1","","29","39","0","10.15866/iree.v20i1.25522","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007993622&doi=10.15866%2Firee.v20i1.25522&partnerID=40&md5=c33af6d840fdb811d33066b2b6ef2af2","This article presents the Monte Carlo based optimal placement of multiple PV/BESS units in a power distribution system with varying Electric Vehicle (EV) load penetration. The popularity of EVs brings the need for power supply to integrate renewable energy resources and energy storage devices to enhance the operational efficiency of the power system. This article presents a static simulation approach that tries to improve the placement and sizing of PV and BESS systems in the IEEE 33 bus test system for different penetration levels of EVs. The suggested method utilizes a Multi-Objective Monte Carlo (MOMC) simulation technique to assess various scenarios, specifically reducing total power losses, system cost, and carbon dioxide (CO2) emissions while guaranteeing voltage stability within predetermined thresholds. The simulation scheme combines dynamic PV output, accurately representing the daily solar generating cycles. In addition, it contains extra EV loads to model the increased penetration on the power distribution system. The research proposes specific spots within the power grid to place PV and BESS systems and applies zoning restrictions during the optimization computation step. The objective function imposes voltage violation fines; therefore, compliance with operational requirements is ensured. The findings indicate substantial decreases in power wastage and CO2 emissions at various levels of EV adoption (30, 50, and 70%). The most efficient PV and BESS systems setup change depending on the level of adoption of EVs, emphasizing the need for flexible approaches in constructing distribution networks. The findings provide valuable insights for power grid operators and regulators who aspire to improve the resilience and efficiency of power distribution networks in the face of increased EV integration. This contributes to the creation of strong and sustainable energy management policies. © 2025 Praise Worthy Prize S.r.l.-All rights reserved.","Dynamic Output; EV Penetration; Monte Carlo; Renewable Energy Integration","","","Article","Final","","Scopus","2-s2.0-105007993622"
"Bertucci, J.P.; Salazar, M.; Hofman, T.","Bertucci, Juan Pablo (58666546300); Salazar, Mauro (59906585200); Hofman, Theo (8674362000)","58666546300; 59906585200; 8674362000","Battery Electric Truck Infrastructure Co-Design via Joint Optimization and Agent-Based Simulation","2025","IEEE Transactions on Transportation Electrification","11","5","","11296","11306","0","10.1109/TTE.2025.3575704","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007629002&doi=10.1109%2FTTE.2025.3575704&partnerID=40&md5=242554e9303632ce107bba516f570971","As zero-emission zones emerge in European cities, fleet operators are shifting to electric vehicles. To maintain their current operations, a clear understanding of the charging infrastructure required and its relationship to existing power grid limitations is needed. This study presents an optimization framework to jointly design charging infrastructure and schedules within a logistics distribution network, validated through agent-based simulations. We formulate the problem as a mixed-integer linear program (MILP) and develop an agent-based model (ABM) to evaluate various designs and operations under stochastic conditions. Our experiments compare rule-based and optimized strategies in a case study of The Netherlands. Results show that current commercial solutions suffice for middle-mile logistics, with central co-design yielding average cost reductions of 5.2%-6.4% and an average 20.1% decrease in total installed power. While rule-based control effectively manages charging operations and mitigates delays, optimizing charge scheduling significantly reduces queuing times (99%), charging costs (13.5%), and time spent near capacity (10.9%). Our optimization-simulation framework paves the way for combining optimized infrastructure planning and realistic fleet operations in digital-twin environments. © 2015 IEEE.","Agent-based modeling; charging stations; electrification; optimization","Fleet operations; Integer linear programming; Linear programming; 'current; Agent based simulation; Charging infrastructures; Co-designs; Electric truck; Emission zone; European cities; Joint optimization; Optimization-based simulations; Zero emission; Integer programming","Received 24 December 2024; revised 23 April 2025; accepted 26 May 2025. Date of publication 2 June 2025; date of current version 25 September 2025. This work was supported by the Project Green Transport Delta\u2013 Electrification funded by the Ministry of Economic Affairs and Climate Policy of The Netherlands. An earlier version of this paper was presented at the 2024 American Control Conference [DOI: 10.23919/ACC60939. 2024.10644339]. (Corresponding author: Juan Pablo Bertucci.) The authors are with the Department of Mechanical Engineering, Control System Technology, Eindhoven University of Technology, 5600 MB Eindhoven, The Netherlands (e-mail: j.p.bertucci@tue.nl). Digital Object Identifier 10.1109/TTE.2025.3575704 Fig. 1. Network sketch where nodes represent retailers connected to a central distribution center (DC). This article deals with the optimal location and sizing of charging stations (CSs) for battery electric truck (BET) operations.","Article","Final","","Scopus","2-s2.0-105007629002"
"Li, J.; Zhang, Y.; Meng, K.","Li, Jun (54408829600); Zhang, Yuchen (57192109077); Meng, Ke (13905131800)","54408829600; 57192109077; 13905131800","Integrating Electrified Logistics Systems Into Power Distribution Network: A Joint-Optimization Planning Approach","2025","IEEE Transactions on Industry Applications","61","6","","9705","9715","0","10.1109/TIA.2025.3577141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007608805&doi=10.1109%2FTIA.2025.3577141&partnerID=40&md5=83eedf8cd101ff2add7f06a51664c082","Integrating electrified logistics systems with power distribution networks (PDNs) poses challenges for jointly optimizing charging infrastructure deployment and vehicle routing. Conventional methods often fail to jointly address the interdependencies between these two systems, leading to suboptimal planning and increased operational costs. To address this issue, a two-stage joint-optimization framework is proposed to simultaneously optimize EV charging station siting and electric logistics vehicle (ELV) routing within PDNs. In the first stage, a multi-objective optimization model is employed to determine optimal charging station locations, balancing infrastructure costs and traffic flow capture efficiency. In the second stage, an adaptive routing model integrates charging constraints to optimize ELV operational costs. A hybrid optimization algorithm, combining self-adaptive MOEA/D and genetic algorithm with best-first search (GABFS), is developed to enhance computational efficiency and solution robustness. The proposed approach is validated on a benchmark distribution network with logistics scenarios, demonstrating significant reductions in both capital investment for charging infrastructure and logistics operational costs. The findings underscore the importance of coordinated charging and logistics planning in accelerating the transition towards sustainable electrified logistics networks. © 1972-2012 IEEE.","Charging station planning; electric logistics vehicle (ELV); location-routing problem; traffic network; two-stage optimization","Multiobjective optimization; Traffic control; Charging infrastructures; Charging station planning; Electric logistic vehicle; Joint optimization; Location routing problem; Logistics system; Logistics vehicles; Power distribution network; Traffic networks; Two stage optimizations; Genetic algorithms","Received 22 October 2024; revised 10 February 2025, 23 April 2025, and 15 May 2025; accepted 21 May 2025. Date of publication 5 June 2025; date of current version 14 November 2025. This work was supported by Australian Research Council through its Discovery Early Career Researcher under Award DE220100044. Paper 2024-TSC-1580.R3, presented at the 2023 IEEE International Conference on Energy Technologies for Future, Wollongong, NSW, Australia, Dec. 03\u201306, and approved for publication in the IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS by the Transportation Systems Committee of the IEEE Industry Applications Society [DOI: 10.1109/ETFG55873.2023.10407171]. (Corresponding author: Jun Li.) Jun Li and Ke Meng are with the School of Electrical Engineering and Telecommunications, The University of New South Wales, Sydney, NSW 2052, Australia (e-mail: junirissli@gmail.com; kemeng@ieee.org).","Article","Final","","Scopus","2-s2.0-105007608805"
"Saha, A.; Teawnarong, A.; Chaitusaney, S.","Saha, Anulekha (57200274914); Teawnarong, Arnon (57216859852); Chaitusaney, Surachai (15043844600)","57200274914; 57216859852; 15043844600","Optimal Flexibility Provision of Electric Vehicle and Photovoltaic Systems Through Probabilistic Forecasting and Unsuccessful Day-Ahead Market Integration","2025","IEEE Access","13","","","97228","97248","0","10.1109/ACCESS.2025.3576245","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007305885&doi=10.1109%2FACCESS.2025.3576245&partnerID=40&md5=97282ae96e4c0d1516ee2e5e5d46874c","Integrating electric vehicles (EVs) and photovoltaic (PV) systems into power grids introduces significant challenges because of uncertainty in EV charging behavior and PV generation—particularly when real-time data are limited. Managing these uncertainties—especially EV late arrivals, EV early departures, and PV forecast errors—is essential for grid stability. This study proposes a proactive flexibility provision framework that leverages probabilistic forecasting and cumulative adjustment factors (CAFs) for dynamic refinement of flexibility bounds. The method enhances resource utilization and maintains flexibility availability, improving real-time power imbalance management. The proposed flexibility program also integrates unsuccessful day-ahead market participants into real-time operations, increasing distributed resource use and reducing reliance on the main grid. Numerical simulations on a 380-V low-voltage distribution system in Thailand demonstrate that the model successfully resolved all real-time power imbalances. Compared to the no-CAF baseline (61.59%), the proposed method reduced utility dependence to 69.10%. Log-normal distributions with low variance (e.g., σ =0.1 for PV and σ =0.5 for EV) have consistently achieved strong performance across mean absolute error, root mean square error, and coverage probability metrics—delivering accurate forecasts while supporting long-term contracts and grid planning. Incentives were fairly allocated and fully funded within the local energy market. © 2013 IEEE.","Electric vehicles; flexibility provision; photovoltaic system; uncertainty management; unsuccessful market participants","DC distribution systems; Integration; Mean square error; Power distribution networks; Vehicle-to-grid; Day ahead market; Flexibility provision; Market participants; Photovoltaic systems; Photovoltaics; Probabilistic forecasting; Uncertainty; Uncertainty management; Unsuccessful market participant; Vehicle system; Normal distribution","The authors express their gratitude to the Provincial Electricity Authority (PEA) for providing the technical data. This Quick Win research project is supported by the Second Century Fund (C2F) and Ratchadapiseksompotch Fund, Chulalongkorn University, Bangkok, Thailand.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105007305885"
"Xiao, X.; Ruan, Z.; Hu, W.; Xiang, Q.; Dong, H.","Xiao, Xianyong (14829865500); Ruan, Zihang (57488267400); Hu, Wenxi (57205248201); Xiang, Qiyu (59929761900); Dong, Hao (59214411700)","14829865500; 57488267400; 57205248201; 59929761900; 59214411700","Knowledge and Data Dual-Driven Model for Plug-In Vehicle Load Identification","2025","IEEE Transactions on Instrumentation and Measurement","74","","2537812","","","1","10.1109/TIM.2025.3574906","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007305722&doi=10.1109%2FTIM.2025.3574906&partnerID=40&md5=a93d5f9c0f7f3e2cfa931076ae2bc80c","Large-scale integration of plug-in electric vehicles (PEVs) will impact the planning and operation of power systems. Accurately identifying PEVs serves as a crucial prerequisite for the establishment of charging station infrastructure. Existing methods for PEV identification can be divided into two categories, i.e., knowledge-driven (KD) models and data-driven (DD) models. The former suffers from the impact of explicit features extracted by subjective experience on identification performance, while the implicit features obtained by the latter are sensitive to the quality of recorded data. An interpretable knowledge and data dual-driven (IKD-DD) model is, therefore, proposed to integrate the robustness and learning abilities of two kinds of models by a mutual information-guided joint training process. A multiattention (MA) mechanism is, moreover, adopted to fuse the explicit and implicit features to enhance the discrimination ability of the feature set instead of conventional feature concatenation. Besides, a prototype-based contrastive loss function was introduced to learn PEV charging behavior even with limited labeled samples. Experimental results demonstrate that the proposed PEV load identification method achieves an identification accuracy exceeding 90% across various simulated and real datasets. Compared to existing methods, the proposed model shows significant improvement and robust performance, even when applied to datasets with limited labels and poor quality. © 1963-2012 IEEE.","Joint training; limited labeled samples; load identification; multiattention (MA) mechanism; plug-in electric vehicles (PEVs)","Electric power plant loads; Labeled data; Implicit features; Joint training; Large-scales; Limited labeled sample; Load identification; Multiattention mechanism; Plug-in vehicles; Plug-ins; Scale integration; Vehicle load; Plug-in electric vehicles","Rdve 6 February 2025; visedre 13 April 2025; accepted 20 May 2025. Date of publication 2 June 2025; date of current ersionv 1 July 2025. This orkw asw supported by the National Natural Science Foundation of China under Project 52307128. The Associate Editor coordinating the wviere process asw D.r Ferdinanda Ponci. (Corresponding author: Wenxi Hu.) The authors are with the School of Electrical Engineering, Sichuan U,yvn Chengdu 610041, China (e-mail: 17780737551@ 163.com; 1069612544@qq.com; 408803186@qq.com; yoonax1@163.com; 2024223035046@stu.scu.edu.cn).","Article","Final","","Scopus","2-s2.0-105007305722"
"Sun, W.; Jin, Y.; Alam, F.; Zhang, Y.; Hossain, M.","Sun, Wenyuan (57979146400); Jin, Yingai (35200753800); Alam, Firoz (7003878721); Zhang, Yufei (57210988754); Hossain, M. (17134814300)","57979146400; 35200753800; 7003878721; 57210988754; 17134814300","A multi-objective optimization strategy of microgrid energy management toward coordinated charging for electric vehicles and economic costing","2025","Energy Sources, Part A: Recovery, Utilization and Environmental Effects","47","1","","12032","12058","0","10.1080/15567036.2025.2505956","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005990185&doi=10.1080%2F15567036.2025.2505956&partnerID=40&md5=4586d69f620f3fd6cfe4a10db0e63f32","The rapid proliferation of electric vehicles (EVs) presents significant grid challenges to the construction and stable operation of urban electricity microgrids. To mitigate operational instability risks induced by uncoordinated large-scale EV charging integration in microgrids in urban and built-up areas, this study proposes a hierarchical two-layer optimization framework for power management in high-penetration EV-grid scenarios. The upper-layer of the hierarchical two-layer optimization framework model focuses on EV-related objectives, incorporating constraints, battery depreciation costs, and user satisfaction into the objective function. The lower-layer model includes microgrid components: photovoltaic units, wind turbines, micro wind turbines, and diesel engines. The aim is to minimize operational costs and load variance within the microgrid, thereby enhancing the power grid stability. To solve this model effectively, a hybrid optimization algorithm combining an improved sparrow search algorithm with a neural network is proposed, and the algorithm is benchmarked and validated against three meta-heuristic optimization algorithms for its efficacy. The study evaluates the scheduling outcomes under three distinct EV strategies, and simulation results demonstrate the effectiveness of the proposed algorithm in solving the model. In the coordinated charge-discharge mode, moving charging loads from peak tariff periods to off-peak tariff periods lowers daily costs by 2.9%. Adding distributed generation lowers daily costs by an additional 6.1%, which helps the microgrid system stay stable. © 2025 Taylor & Francis Group, LLC.","Charging cost; CO2 emissions; electric vehicle (EV); hybrid optimization algorithm; microgrid energy management; multi-objective optimization; renewable energy systems; vehicle-to-grid","Battery management systems; Depreciation; Electric load management; Electric power transmission networks; Fees and charges; Hybrid vehicles; Microgrids; Strategic planning; Vehicle-to-grid; Charging cost; CO 2 emission; Electric vehicle; Energy; Energy systems; Hybrid optimization algorithm; Microgrid; Microgrid energy management; Multi-objectives optimization; Renewable energies; Renewable energy system; Vehicle to grids; Multiobjective optimization","The authors express their gratitude and thanks for the financial support from Changsha Automobile Innovation Research Institute Innovation Project-Research on key technologies of reconfigurable photovoltaic lithium electric coupling power sources for electric vehicles [CAIRIZT20220205] and the Graduate Innovation Fund of Jilin University [2023CX066].","Article","Final","","Scopus","2-s2.0-105005990185"
"Karmaker, A.K.; Sturmberg, B.; Behrens, S.; Hossain, M.J.; Pota, H.","Karmaker, Ashish Kumar (57201013956); Sturmberg, Björn C.P. (50162446800); Behrens, Sam (7102608580); Hossain, Md Jahangir (57209871691); Pota, Hemanshu R. (7004130643)","57201013956; 50162446800; 7102608580; 57209871691; 7004130643","Community-Based Electric Vehicle Charging Station Allocation Using Regional Customer Diversities","2025","IEEE Transactions on Industry Applications","61","6","","8510","8519","1","10.1109/TIA.2025.3571822","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005865623&doi=10.1109%2FTIA.2025.3571822&partnerID=40&md5=9b3269af3e4c23cfd408cdd90398b642","Failing to account for the diverse charging behaviors of electric vehicle (EV) users across different regions often leads to inaccuracies in planning community charging facilities, resulting in either overestimating or underestimating charger demand. This paper addresses this gap by proposing a customer segmentation-based approach for optimal charger distribution to assist policymakers and distribution network operators in the early stages of EV adoption. This work comprises two main parts: representing plugin behaviors through customer segmentation and optimal charger allocation in community distribution networks. Customer segmentation is conducted using an unsupervised clustering algorithm, with EV adoption features selected based on their importance scores using regional EV availability. Primary plugin behaviors, based on Australian contexts, consider arrival time, charger preferences, driving patterns, and initial state of charge, while secondary behaviors, such as plugin intervals and energy needs, are modeled using probabilistic simulations. Utilizing secondary plugin variables, this research employs a two-stage multi-objective optimization approach to find optimal locations and sizes of community chargers in the IEEE-33 bus system coupled with a road network. The results reveal that customer plugin diversities impact charger distribution plans, highlighting the critical need for customer segmentation accounting for regional variations. © 1972-2012 IEEE.","charger allocation; customer segmentation; Electric vehicle (EV); plugin behaviors; regional statistics","Plug-in electric vehicles; Charger allocation; Charging station allocations; Community-based; Customers segmentations; Electric vehicle charging; Planning community; Plug-ins; Plugin behavior; Regional statistic; Vehicle users; Electric buses","","Article","Final","","Scopus","2-s2.0-105005865623"
"Bangia, S.","Bangia, Sakshi (53983717200)","53983717200","Energy optimisation control design using deep tensor direct-based convolution neural network for hybrid electric vehicles","2025","Australian Journal of Electrical and Electronics Engineering","","","","","","2","10.1080/1448837X.2025.2506906","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005860730&doi=10.1080%2F1448837X.2025.2506906&partnerID=40&md5=6a972ac4f37737019136f5a9ec40a067","Given the significance of an energy optimisation plan for hybrid electric vehicles, this work attempts to handle the energy optimisation control problem by utilising a deep tensor direct-based convolutional neural network. First, a power system model for hybrid electric vehicles is developed in this study. An integrated multi-objective fuzzy method is created to obtain the Conjugate Transpose Fuzzy design schemes in various trade-off scenarios between the speed and fuel economy of the HEV powertrain model. Second, a mathematical model of vehicle speed fluctuation in connected and disconnected modes is developed to investigate the relationship between fuel economy and vehicle speed planning. In the final step, deep learning-based energy optimisation control techniques based on deeper Tensor Direct-based convolution neural network (DTDCNN) algorithms are constructed using the hierarchical energy optimisation control. The experiment results show how to use the recommended approach and produce better results. © 2025 Engineers Australia.","conjugate fuzzy transpose; fuel economy; Hybrid electric vehicle; power train model; tensor direct based CNN","Convolutional neural networks; Deep neural networks; Electric power system control; Fuzzy neural networks; Conjugate fuzzy transpose; Control design; Convolution neural network; Energy optimization; Optimization control; Power train model; Power trains; Tensor direct based CNN; Train model; Vehicle speed; Hybrid vehicles","","Article","aip","","Scopus","2-s2.0-105005860730"
"Hu, W.; Wang, S.; Du, P.","Hu, Wei (57199745237); Wang, Shuo (59897685500); Du, Puliang (57212191341)","57199745237; 59897685500; 57212191341","An Energy Management Strategy for Virtual Power Plants Integrating EVs Behaviour Analysis Based on TD3 and DQN","2025","IET Renewable Power Generation","19","1","e70048","","","0","10.1049/rpg2.70048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005153340&doi=10.1049%2Frpg2.70048&partnerID=40&md5=4640a4e16d8d5c33dc93f252ef218e75","An efficient energy management plays a crucial role in enhancing the operational efficiency of distributed energy systems (DERs) and virtual power plants (VPPs). However, existing optimization methods face persistent challenges in coordinating dynamic EV behaviours. High-dimensional state spaces and stochastic demand fluctuations lead to suboptimal performance. This study introduces a dispatch optimization strategy for VPPs that incorporates electric vehicles (EVs) based on the twin delayed deep deterministic policy gradient (TD3) and proposes a behaviour analysis driven by deep Q-network (DQN) to precisely evaluate the charge demands of EVs for the TD3 optimization. The simulation results show that: (1) The proposed TD3-EV achieves a 16.7% cost reduction compared to battery scenario, with an 89.45% reduction in MT output and a 38.5% enhancement in grid interaction. Notably, it exhibits 89.07% and over 100% lower costs than deep deterministic policy gradient (DDPG) and Gurobi; (2) TD3-EV reduces peak unbalance power by 26.1% and 14.3% compared to TD3-Battery and DDPG-EV, highlighting its robustness in energy management; (3) TD3-EV demonstrates 84.71% and 94.39% higher mean reward than TD3-battery and DDPG-EV with more stable convergence. © 2025 The Author(s). IET Renewable Power Generation published by John Wiley & Sons Ltd on behalf of The Institution of Engineering and Technology.","electric current control; electric vehicles; energy consumption; energy management systems","Electric power system interconnection; Electric power transmission networks; Electric variables control; Plant management; Power management (telecommunication); Robustness (control systems); Stochastic systems; Strategic planning; 'current; Behavior analysis; Deterministics; Energy; Energy-consumption; Management strategies; Management systems; Policy gradient; Vehicle behavior; Virtual power plants; Battery management systems","This work was supported by the National Nature Science Foundation of China (Grant: 72401182).","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105005153340"
